===================================================================================
|Mã Chấm Công   |Mã Nhân Sự     |Ngày      |Tháng     |Năm       |Trạng Thái      |
|CC087          |NS004          |9         |4         |2025      |Nghỉ bệnh       |
|CC088          |NS004          |10        |4         |2025      |Nghỉ không phép |
|CC089          |NS004          |11        |4         |2025      |Nghỉ có phép    |
|CC090          |NS004          |12        |4         |2025      |Đi làm          |
|CC091          |NS004          |13        |4         |2025      |Nghỉ bệnh       |
|CC092          |NS004          |14        |4         |2025      |Đi làm          |
|CC093          |NS004          |15        |4         |2025      |Nghỉ bệnh       |
|CC094          |NS004          |16        |4         |2025      |Nghỉ không phép |
|CC095          |NS004          |17        |4         |2025      |Đi làm          |
|CC096          |NS004          |18        |4         |2025      |Đi làm          |
|CC097          |NS004          |19        |4         |2025      |Nghỉ không phép |
|CC098          |NS004          |20        |4         |2025      |Đi làm          |
|CC099          |NS004          |21        |4         |2025      |Đi làm          |
|CC100          |NS004          |22        |4         |2025      |Nghỉ bệnh       |
|CC101          |NS004          |23        |4         |2025      |Nghỉ có phép    |
|CC102          |NS004          |24        |4         |2025      |Đi làm          |
|CC103          |NS004          |25        |4         |2025      |Đi làm          |
|CC104          |NS004          |26        |4         |2025      |Nghỉ có phép    |
|CC105          |NS005          |1         |5         |2025      |Nghỉ bệnh       |
|CC106          |NS005          |2         |5         |2025      |Đi làm          |
|CC107          |NS005          |3         |5         |2025      |Đi làm          |
|CC108          |NS005          |4         |5         |2025      |Đi làm          |
|CC109          |NS005          |5         |5         |2025      |Đi làm          |
|CC110          |NS005          |6         |5         |2025      |Đi làm          |
|CC111          |NS005          |7         |5         |2025      |Đi làm          |
|CC112          |NS005          |8         |5         |2025      |Đi làm          |
|CC113          |NS005          |9         |5         |2025      |Đi làm          |
|CC114          |NS005          |10        |5         |2025      |Nghỉ bệnh       |
|CC115          |NS005          |11        |5         |2025      |Đi làm          |
|CC116          |NS005          |12        |5         |2025      |Nghỉ không phép |
|CC117          |NS005          |13        |5         |2025      |Nghỉ bệnh       |
|CC118          |NS005          |14        |5         |2025      |Nghỉ không phép |
|CC119          |NS005          |15        |5         |2025      |Đi làm          |
|CC120          |NS005          |16        |5         |2025      |Nghỉ có phép    |
|CC121          |NS005          |17        |5         |2025      |Đi làm          |
|CC122          |NS005          |18        |5         |2025      |Nghỉ có phép    |
|CC123          |NS005          |19        |5         |2025      |Đi làm          |
|CC124          |NS005          |20        |5         |2025      |Đi làm          |
|CC125          |NS005          |21        |5         |2025      |Đi làm          |
|CC126          |NS005          |22        |5         |2025      |Đi làm          |
|CC127          |NS005          |23        |5         |2025      |Đi làm          |
|CC128          |NS005          |24        |5         |2025      |Đi làm          |
|CC129          |NS005          |25        |5         |2025      |Đi làm          |
|CC130          |NS005          |26        |5         |2025      |Đi làm          |
|CC131          |NS006          |1         |6         |2025      |Nghỉ bệnh       |
|CC132          |NS006          |2         |6         |2025      |Nghỉ bệnh       |
|CC133          |NS006          |3         |6         |2025      |Nghỉ có phép    |
|CC134          |NS006          |4         |6         |2025      |Đi làm          |
|CC135          |NS006          |5         |6         |2025      |Đi làm          |
|CC136          |NS006          |6         |6         |2025      |Đi làm          |
|CC137          |NS006          |7         |6         |2025      |Đi làm          |
|CC138          |NS006          |8         |6         |2025      |Nghỉ không phép |
|CC139          |NS006          |9         |6         |2025      |Đi làm          |
|CC140          |NS006          |10        |6         |2025      |Đi làm          |
|CC141          |NS006          |11        |6         |2025      |Đi làm          |
|CC142          |NS006          |12        |6         |2025      |Nghỉ không phép |
|CC143          |NS006          |13        |6         |2025      |Đi làm          |
|CC144          |NS006          |14        |6         |2025      |Nghỉ có phép    |
|CC145          |NS006          |15        |6         |2025      |Đi làm          |
|CC146          |NS006          |16        |6         |2025      |Đi làm          |
|CC147          |NS006          |17        |6         |2025      |Đi làm          |
|CC148          |NS006          |18        |6         |2025      |Nghỉ có phép    |
|CC149          |NS006          |19        |6         |2025      |Đi làm          |
|CC150          |NS006          |20        |6         |2025      |Đi làm          |
|CC151          |NS006          |21        |6         |2025      |Đi làm          |
|CC152          |NS006          |22        |6         |2025      |Đi làm          |
|CC153          |NS006          |23        |6         |2025      |Đi làm          |
|CC154          |NS006          |24        |6         |2025      |Đi làm          |
|CC155          |NS006          |25        |6         |2025      |Đi làm          |
|CC156          |NS006          |26        |6         |2025      |Nghỉ bệnh       |
|CC157          |NS007          |1         |7         |2025      |Nghỉ bệnh       |
|CC158          |NS007          |2         |7         |2025      |Đi làm          |
|CC159          |NS007          |3         |7         |2025      |Đi làm          |
|CC160          |NS007          |4         |7         |2025      |Đi làm          |
|CC161          |NS007          |5         |7         |2025      |Nghỉ không phép |
|CC162          |NS007          |6         |7         |2025      |Đi làm          |
|CC163          |NS007          |7         |7         |2025      |Đi làm          |
|CC164          |NS007          |8         |7         |2025      |Đi làm          |
|CC165          |NS007          |9         |7         |2025      |Nghỉ có phép    |
|CC166          |NS007          |10        |7         |2025      |Đi làm          |
|CC167          |NS007          |11        |7         |2025      |Đi làm          |
|CC168          |NS007          |12        |7         |2025      |Đi làm          |
|CC169          |NS007          |13        |7         |2025      |Đi làm          |
|CC170          |NS007          |14        |7         |2025      |Đi làm          |
|CC171          |NS007          |15        |7         |2025      |Đi làm          |
|CC172          |NS007          |16        |7         |2025      |Nghỉ không phép |
|CC173          |NS007          |17        |7         |2025      |Nghỉ bệnh       |
|CC174          |NS007          |18        |7         |2025      |Nghỉ không phép |
|CC175          |NS007          |19        |7         |2025      |Đi làm          |
|CC176          |NS007          |20        |7         |2025      |Đi làm          |
|CC177          |NS007          |21        |7         |2025      |Đi làm          |
|CC178          |NS007          |22        |7         |2025      |Nghỉ bệnh       |
|CC179          |NS007          |23        |7         |2025      |Đi làm          |
|CC180          |NS007          |24        |7         |2025      |Nghỉ không phép |
|CC181          |NS007          |25        |7         |2025      |Đi làm          |
|CC182          |NS007          |26        |7         |2025      |Đi làm          |
|CC183          |NS008          |1         |8         |2025      |Đi làm          |
|CC184          |NS008          |2         |8         |2025      |Đi làm          |
|CC185          |NS008          |3         |8         |2025      |Đi làm          |
|CC186          |NS008          |4         |8         |2025      |Đi làm          |
|CC187          |NS008          |5         |8         |2025      |Nghỉ bệnh       |
|CC188          |NS008          |6         |8         |2025      |Nghỉ bệnh       |
|CC189          |NS008          |7         |8         |2025      |Nghỉ có phép    |
|CC190          |NS008          |8         |8         |2025      |Đi làm          |
|CC191          |NS008          |9         |8         |2025      |Đi làm          |
|CC192          |NS008          |10        |8         |2025      |Đi làm          |
|CC193          |NS008          |11        |8         |2025      |Nghỉ bệnh       |
|CC194          |NS008          |12        |8         |2025      |Nghỉ có phép    |
|CC195          |NS008          |13        |8         |2025      |Đi làm          |
|CC196          |NS008          |14        |8         |2025      |Đi làm          |
|CC197          |NS008          |15        |8         |2025      |Đi làm          |
|CC198          |NS008          |16        |8         |2025      |Nghỉ không phép |
|CC199          |NS008          |17        |8         |2025      |Đi làm          |
|CC200          |NS008          |18        |8         |2025      |Đi làm          |
|CC201          |NS008          |19        |8         |2025      |Đi làm          |
|CC202          |NS008          |20        |8         |2025      |Đi làm          |
|CC203          |NS008          |21        |8         |2025      |Đi làm          |
|CC204          |NS008          |22        |8         |2025      |Đi làm          |
|CC205          |NS008          |23        |8         |2025      |Đi làm          |
|CC206          |NS008          |24        |8         |2025      |Đi làm          |
|CC207          |NS008          |25        |8         |2025      |Đi làm          |
|CC208          |NS008          |26        |8         |2025      |Đi làm          |
|CC209          |NS009          |1         |9         |2025      |Nghỉ bệnh       |
|CC210          |NS009          |2         |9         |2025      |Nghỉ có phép    |
|CC211          |NS009          |3         |9         |2025      |Đi làm          |
|CC212          |NS009          |4         |9         |2025      |Nghỉ không phép |
|CC213          |NS009          |5         |9         |2025      |Nghỉ bệnh       |
|CC214          |NS009          |6         |9         |2025      |Đi làm          |
|CC215          |NS009          |7         |9         |2025      |Nghỉ không phép |
|CC216          |NS009          |8         |9         |2025      |Đi làm          |
|CC217          |NS009          |9         |9         |2025      |Đi làm          |
|CC218          |NS009          |10        |9         |2025      |Đi làm          |
|CC219          |NS009          |11        |9         |2025      |Đi làm          |
|CC220          |NS009          |12        |9         |2025      |Đi làm          |
|CC221          |NS009          |13        |9         |2025      |Đi làm          |
|CC222          |NS009          |14        |9         |2025      |Đi làm          |
|CC223          |NS009          |15        |9         |2025      |Đi làm          |
|CC224          |NS009          |16        |9         |2025      |Đi làm          |
|CC225          |NS009          |17        |9         |2025      |Đi làm          |
|CC226          |NS009          |18        |9         |2025      |Nghỉ có phép    |
|CC227          |NS009          |19        |9         |2025      |Đi làm          |
|CC228          |NS009          |20        |9         |2025      |Đi làm          |
|CC229          |NS009          |21        |9         |2025      |Đi làm          |
|CC230          |NS009          |22        |9         |2025      |Đi làm          |
|CC231          |NS009          |23        |9         |2025      |Nghỉ bệnh       |
|CC232          |NS009          |24        |9         |2025      |Đi làm          |
|CC233          |NS009          |25        |9         |2025      |Đi làm          |
|CC234          |NS009          |26        |9         |2025      |Đi làm          |
|CC235          |NS010          |1         |10        |2025      |Nghỉ không phép |
|CC236          |NS010          |2         |10        |2025      |Nghỉ bệnh       |
|CC237          |NS010          |3         |10        |2025      |Nghỉ có phép    |
|CC238          |NS010          |4         |10        |2025      |Đi làm          |
|CC239          |NS010          |5         |10        |2025      |Đi làm          |
|CC240          |NS010          |6         |10        |2025      |Đi làm          |
|CC241          |NS010          |7         |10        |2025      |Đi làm          |
|CC242          |NS010          |8         |10        |2025      |Đi làm          |
|CC243          |NS010          |9         |10        |2025      |Nghỉ không phép |
|CC244          |NS010          |10        |10        |2025      |Nghỉ không phép |
|CC245          |NS010          |11        |10        |2025      |Đi làm          |
|CC246          |NS010          |12        |10        |2025      |Đi làm          |
|CC247          |NS010          |13        |10        |2025      |Nghỉ không phép |
|CC248          |NS010          |14        |10        |2025      |Đi làm          |
|CC249          |NS010          |15        |10        |2025      |Đi làm          |
|CC250          |NS010          |16        |10        |2025      |Đi làm          |
|CC251          |NS010          |17        |10        |2025      |Nghỉ không phép |
|CC252          |NS010          |18        |10        |2025      |Đi làm          |
|CC253          |NS010          |19        |10        |2025      |Nghỉ bệnh       |
|CC254          |NS010          |20        |10        |2025      |Đi làm          |
|CC255          |NS010          |21        |10        |2025      |Đi làm          |
|CC256          |NS010          |22        |10        |2025      |Nghỉ không phép |
|CC257          |NS010          |23        |10        |2025      |Đi làm          |
|CC258          |NS010          |24        |10        |2025      |Đi làm          |
|CC259          |NS010          |25        |10        |2025      |Đi làm          |
|CC260          |NS010          |26        |10        |2025      |Nghỉ có phép    |
